Wanting to get away from friends and family, Sasha spent a weekend in the mountains.;How would Others feel as a result?;hurt;refreshed;relaxed
Bailey and Jesse both studied hard for the big exam.;What will Bailey want to do next?;open a book;rub in his successful;encourage Jesse to try again
Riley knew Jesse was a shoplifter so they regarded Jesse with suspicious eyes.;Why did Riley do this?;because Jesse was a criminal;because Jesse was their boss;because Jesse was their friend
Tracy wore Sydney's jacket to school because it was very cold outside that day.;How would Tracy feel afterwards?;unprepared;passive;loved
Remy resisted the urge to go on that shopping spree and left the money in their account.;How would Remy feel afterwards?;like they make the right choice;irresponsible with their money;upset with their choice
Carson was at a friend's house playing video games when the others discussed being hungry for pizza.;What will Others want to do next?;get a pizza next;play more video games next;go to sleep next
Alex answered Riley's question because he knew the answer.;What will happen to Alex?;talk more;meet to knew the Alex;ignore Riley
Remy paid her taxes and her friend asked her why she did that.;Why did Remy do this?;explain to her friend how tax laws work;offer to do her friend's taxes;do what she was told
Tracy gave it to their friend after their friend seemed to really like the object.;How would you describe Tracy?;generous;withholding;mean
Riley was being held captive, but they were able to break loose from the house.;What will Riley want to do next?;go to the neighbor's;break down the door;free herself from the binds
Tracy was driving to school and then decided not to go.;Why did Tracy do this?;skip a test;they will head back home;hand in her homework
Carson was trying to study for a big test, so Carson turned Sydney's music down.;Why did Carson do this?;make things quiet;listen to loud music;make Sydney upset
Kendall persisted after being told no, and eventually had a positive effect on Lee.;What will Lee want to do next?;Give into Kendall;Give a punch to Kendall's face;Refuse to help Kendall
Tracy took Jesse's students on a field trip because Jesse was not feeling well.;What will Tracy want to do next?;take the students back to school;drive the students back home;know directions
Alex's factory has played a large role in the economy of the town.;What will Others want to do next?;keep the factory running well;For people to have good careers at the shop;hire people
Quinn returned the tools back to the rightful owner.;What will Others want to do next?;go home;borrow the tools Quinn had;make Quinn cry
Lee challenged a bully to a fight when he had had enough.;What will Others want to do next?;watch it;ignore it;scare the bully off
Kai looked at Jan's picture and made it perfect.;How would Jan feel as a result?;grateful;proud;helpful
Lee tried to remain calm when nobody answered the phone call.;What does Lee need to do before this?;pick up the phone;send a text;try again
Aubrey was taking a test and thought hard about the answers.;What does Aubrey need to do before this?;read the test questions;study for the test;do her best
Jordan was mentioned in Casey's chapter but the description of her wasn't very flattering.;What will Jordan want to do next?;Ask Casey to delete the chapter;tell Casey what she thought of her;Ask Casey to autograph the book
